event_start, event_dt, event_stats[0], event_stats[1], event_stats[2]
838233,12,93,826,3142
838260,2,1,7,25
838271,5,6,49,179
838287,3,27,241,881
838302,6,403,3915,13300
838346,25,2435,33817,226994
838472,20,979,8629,41483
838506,4,1,7,26
838514,10,29,235,891
838532,7,93,868,3263
838550,4,458,3990,17066
838591,24,2092,25872,154342
838618,7,7,93,400
838728,34,716,6207,25767
838781,4,1,10,29
838796,6,87,697,2506
838822,9,16,165,757
838842,21,1062,12737,62676
838965,19,324,2903,14203
838999,16,4,36,146
839030,7,10,89,330
839050,2,1,8,29
839091,20,505,5052,17651
839210,4,1,8,27
839223,15,161,1322,5181
839240,6,1,8,29
839252,10,89,701,2925
839274,3,3,20,76
839290,6,863,7706,32530
839333,23,2403,36099,226863
839460,19,786,7182,28388
839492,18,227,1932,7892
839518,6,51,419,1507
839533,10,1043,10666,71710
839579,25,2335,31391,199822
839725,19,291,2546,10875
839767,4,6,54,174
839785,3,3,23,77
839828,22,2592,45951,353637
839952,20,378,3341,15849
839985,18,228,1909,8023
840012,6,149,1624,5896
840029,7,998,10624,54203
840073,24,2428,39156,296806
840132,12,44,532,2321
840208,12,820,7893,38982
840226,12,146,1311,4958
840244,3,4,31,109
840260,5,103,1137,3810
840275,7,769,7047,26891
840323,22,2481,47371,375022
840445,18,681,5797,27364
840470,7,5,51,179
840480,16,77,624,2593
840503,8,70,679,2346
840520,16,21,237,1038
840565,25,2768,42371,350036
840628,10,27,399,2087
840702,12,864,9220,34523
840717,21,407,3726,15019
840811,23,110,1077,4763
840938,18,181,1643,6383
840974,14,5,39,140
841015,8,1061,10991,65924
841058,26,2298,32123,200189
841190,16,751,7015,29090
841211,21,166,1550,6304
841263,5,129,1244,4495
841283,9,45,542,2811
841307,24,2467,40458,292600
841432,21,696,6006,24539
841468,14,137,1159,4994
841491,7,109,979,3878
841552,25,2557,40178,260153
841611,7,13,156,634
841682,11,36,569,2986
841707,20,130,1132,4408
841740,4,11,100,322
841755,7,1014,11737,62708
841777,9,12,163,747
841800,23,2488,46056,340081
841926,26,423,3825,17250
841961,15,340,2921,12821
841984,3,1,9,29
842002,6,798,8008,30102
842032,60,3150,33038,220968
842111,58,903,10001,105117
842248,61,5714,72055,816237
842321,62,709,9755,94848
842462,59,6291,74197,645844
842536,39,409,4132,31110
842577,20,231,2523,18254
842677,59,5334,67826,846275
842747,59,739,9393,84920
842902,75,7971,119619,1661523
843003,10,640,6372,25368
843015,9,800,8932,42738
843026,6,7,69,290
843040,37,3174,69830,936446
843102,6,1,9,31
843150,79,5311,93178,2138597
843251,9,2,18,66
843266,8,8,62,223
843280,44,3223,66548,1037444
843396,27,2029,38603,796085
843428,45,4196,44747,380970
843498,4,78,551,1995
843511,9,722,7369,34678
843535,35,2734,65696,864596
843597,9,18,236,1099
843644,80,5998,108073,1867169
843738,14,85,624,2528
843758,7,25,234,828
843774,43,3297,63329,907858
843860,13,27,421,2692
843889,83,7059,114750,2221750
843977,7,54,424,1579
844002,10,386,4166,16002
844027,37,2920,75732,1157052
844137,80,7291,121832,2248000
844236,8,2,19,65
844264,47,3610,66237,892236
844384,78,6775,111777,1642859
844479,27,912,9013,36717
844520,37,2938,75584,1061548
844631,57,3999,82735,2055041
844690,24,296,3290,13394
844724,12,5,42,154
844761,43,2896,64480,832120
844877,78,7466,108245,1530197
844960,11,44,678,3091
844977,6,4,30,106
844990,6,47,363,1371
845000,9,26,349,1870
845013,37,2632,71608,1097502
845124,80,5461,92414,1913044
845238,5,10,82,288
845253,45,2701,64841,1113657
845369,87,7324,108430,1985197
845465,28,705,7180,30512
845504,40,2755,78153,1225966
845617,24,2750,63589,1541540
845649,48,3236,37536,257795
845712,4,1,7,26
845731,5,3,23,83
845747,31,2232,43491,346949
845783,8,1353,39040,277195
845862,77,7072,114956,2297946
845959,13,207,2017,7675
845977,9,81,784,2923
846001,36,2778,78530,1162318
846111,80,6644,118133,2348328
846209,5,1,9,36
846240,44,3452,74119,1126600
846356,73,7584,123405,2116167
846451,12,355,3146,10967
846470,12,242,2283,8789
846493,37,2985,78084,1167665
846604,80,6556,105469,1572275
846686,14,28,360,1746
846718,6,18,144,544
846735,42,2498,50146,626793
846849,79,7283,114197,2476699
846941,17,656,5578,22962
846962,14,307,2833,10259
846985,38,2770,71330,1056060
847029,4,2,35,101
847097,80,7319,111971,1977509
847199,3,5,34,132
847226,45,2970,59435,1014352
847342,79,7892,120354,1706596
847443,11,836,7519,32639
847458,11,582,6088,27444
847485,32,2682,78192,1227636
847590,81,6798,121230,2644560
847685,12,209,2008,6588
847706,5,5,40,137
847720,44,3089,66096,981108
848021,232,17631,237110,3377102
848255,7,4,40,156
848265,67,4846,85895,1641363
848384,198,15682,265484,4747619
848590,10,20,161,643
848603,86,7122,100053,1560184
848692,9,13,183,804
848747,312,26375,382071,5805263
849097,26,1579,50171,781075
849133,186,12820,199121,3055768
849354,17,895,33564,410695
849381,180,13779,267917,4884158
849590,26,1051,46443,776380
849626,185,14618,246249,3858374
849838,26,1057,47043,786113
849874,183,14573,260242,4308820
850084,26,1310,49061,756100
850120,184,14892,254526,3912832
850331,26,1881,52581,830338
850359,7,13,151,689
850368,182,14837,265808,4382748
850577,26,1869,54567,794149
850614,183,15157,250161,3909176
850824,27,1292,50570,806044
850861,183,14906,260611,4244251
851070,27,1050,44673,749252
851106,184,14459,248665,3913533
851318,25,1599,52690,820123
851346,6,6,56,199
851354,183,14873,284335,5835927
851564,26,1048,44423,718520
851600,184,15059,248505,3880908
851810,28,1817,54726,846293
851847,184,14931,261155,4256701
852057,26,1566,52339,775654
852093,184,15700,252966,3881046
852304,27,1421,51668,834123
852341,183,14626,262532,4375906
852550,26,1053,45594,763843
852586,185,15326,244781,3741607
852787,6,5,46,170
852797,27,1708,51088,798112
852834,183,14599,255434,4227951
853044,25,1255,49306,737434
853080,184,15976,260739,3975793
853291,27,1756,51179,832617
853328,183,15051,265157,4336740
853537,26,1951,55502,825999
853573,184,14995,253468,3876011
853784,27,1055,48245,812566
853821,183,14652,258798,4214990
854273,6,18,165,597
854285,10,11,101,393
854414,9,15,139,521
854431,2,1,7,25
854601,8,55,507,2064
854725,5,1,9,31
854899,7,327,3028,10602
854916,6,1,8,32
854965,9,16,274,1626
855039,7,12,114,409
855055,5,8,68,254
855107,10,30,375,2031
855154,9,9,84,365
855239,9,540,5804,23027
855257,12,10,85,327
855343,9,9,90,300
855486,5,8,65,234
855503,14,75,594,2344
855588,8,130,1335,4927
855733,7,231,2223,8391
855755,6,22,173,593
855773,12,5,62,243
855836,8,139,1198,4410
855888,10,1,22,160
855980,4,1,10,37
855997,13,199,1647,7252
856025,7,6,62,259
856080,10,320,3710,14003
856225,7,854,9568,36809
856329,10,64,571,2103
856489,14,275,2790,11271
856575,7,250,2696,9247
856719,8,120,1141,4058
856741,3,1,8,28
856822,9,73,735,2361
856906,7,2,17,65
856967,3,1,14,40
856985,10,36,297,1182
857069,6,179,1707,6260
857212,9,538,5824,22685
857233,8,5,39,168
857316,9,807,8743,31300
857476,12,76,627,2406
857558,12,150,1515,5925
857669,10,4,63,215
857695,7,4,47,194
857705,10,1333,15760,69757
857725,12,20,149,579
857810,9,26,229,790
857971,10,109,940,3653
858055,7,106,932,3481
858199,9,686,6802,26833
858220,8,12,100,360
858305,7,27,266,836
858449,3,1,8,26
858548,9,518,5105,18594
858672,6,3,42,160
858692,9,597,6140,25157
858796,8,213,2210,7461
858879,9,12,127,473
858942,6,12,130,381
858957,12,134,1140,4436
859041,8,714,7630,28340
859186,8,536,5897,20571
859206,6,7,53,189
859291,7,53,523,1793
859338,6,3,30,126
859414,7,22,278,1125
859435,2,1,8,36
859450,12,20,163,637
859534,8,163,1617,5963
859680,8,363,4143,14795
859703,5,1,7,25
859733,8,12,171,895
859782,9,145,1440,4719
859944,13,221,1995,8633
860028,9,111,1088,4018
860158,34,1162,9871,45320
860215,31,437,4390,24725
860364,16,576,5073,23672
860390,12,152,1338,5819
860409,8,7,56,220
860427,14,59,555,2305
860449,14,74,745,3412
860586,23,280,2342,10447
860642,29,270,2463,11754
860793,14,448,4752,19469
860820,9,55,495,1770
860836,3,1,13,32
860853,10,228,2001,9180
860877,13,67,705,3128
861011,30,336,2794,10102
861069,29,324,3080,14985
861248,4,268,1997,7390
861254,10,35,392,1632
861268,13,187,1551,6231
861286,3,1,8,40
861300,4,3,29,109
861318,4,50,400,1432
861332,12,48,772,3758
861362,21,1865,22164,112482
861486,18,552,4702,22575
861517,11,5,41,147
861534,2,3,22,78
861544,8,226,2427,10643
861561,8,1080,11622,82799
861604,27,2310,28230,194949
861742,32,2509,24503,155074
861810,5,778,7534,27756
861828,9,14,172,665
861840,7,2,18,81
861859,15,2214,26488,141149
861979,10,138,1259,5227
861993,7,1,19,93
862012,17,153,1312,5344
862039,5,58,537,1961
862055,6,3,26,88
862064,6,8,77,317
862098,26,2553,44083,326978
862237,32,653,6981,25125
862287,4,3,22,79
862303,10,5,112,664
862349,20,619,6088,25253
862472,19,694,6271,32897
862506,15,6,45,168
862531,7,32,303,1105
862548,8,1102,15196,75201
862592,25,2292,27760,196495
862727,13,1251,13497,60949
862744,11,11,150,752
862849,15,2378,40978,244230
862965,20,302,2629,11927
862997,19,360,3169,14225
863025,5,71,608,2244
863041,9,969,11803,76614
863085,26,2302,30800,236912
863221,30,1078,9783,43258
863254,8,4,32,111
863276,1,1,7,26
863335,21,2496,37720,295058
863458,20,1063,9944,43489
863490,20,594,5407,24204
863519,5,8,63,217
863536,6,211,1675,6070
863579,24,2372,34421,195008
863681,6,1,7,49
863695,6,2,15,53
863717,37,871,7228,29137
863767,2,1,8,26
863783,3,1,8,29
863828,21,2439,39000,273688
864000,3,6,50,190
864013,3,1,7,26
864028,10,1257,18794,128272
864072,25,2452,39196,267276
864171,4,1,10,36
864206,15,843,7897,32042
864223,25,166,1386,5711
864261,4,3,23,85
864275,8,1020,12639,63611
864327,12,2212,27396,142480
864341,7,14,177,687
864444,22,1249,11333,58395
864481,15,272,2335,10236
864504,6,195,1861,7370
864522,7,69,516,1951
864565,25,2359,29312,168947
864620,4,2,20,84
864701,39,413,3468,14763
864753,4,13,123,409
864768,7,797,7265,31537
864814,22,2460,34548,241092
864939,20,387,3369,15546
864971,18,84,662,2614
864998,5,32,271,1012
865014,8,1098,11588,61423
865034,10,12,152,671
865061,21,1546,18369,85053
865195,13,1145,10611,53564
865214,11,17,130,539
865229,4,3,21,76
865263,5,106,889,3002
865284,10,27,330,1554
865308,22,2494,37128,278994
865433,18,460,4299,18543
865464,19,47,385,1553
865491,7,233,2366,9792
865509,7,728,5808,24727
865553,25,2506,37156,289083
865688,11,24,193,712
865705,5,1,9,28
865756,5,183,1395,5082
865788,8,7,85,373
865803,24,2394,30595,229587
865925,19,350,2726,11667
865959,11,48,380,1455
865985,6,49,430,1678
866003,6,85,820,2641
866046,26,3037,48438,368344
866079,8,9,100,450
866204,5,4,39,144
866336,9,21,260,1178
866386,5,2,16,54
866575,1,1,9,36
867318,6,3,24,98
867498,11,42,627,2901
867511,12,32,473,2607
867922,9,26,387,2045
868402,7,2,29,145
868435,3,1,7,25
868520,9,29,316,1364
868613,5,3,26,109
868725,8,17,201,1087
868735,10,6,54,252
869100,9,10,106,480
870272,6,7,101,400
870430,11,24,271,1084
871202,9,12,125,421
